"","Taxon","Order","Family","Genus","Species"
"1","2","Acipenseriformes","Acipenseridae","Acipenser",""
"2","3","Acipenseriformes","Polyodontidae","Polyodon","spatula"
"3","6","Lepisosteiformes","Lepisosteidae","",""
"4","11","Clupeiformes","Clupeidae","Harengula",""
"5","16","Gonorynchiformes","Chanidae","Chanos","chanos"
"6","17","Cypriniformes","Cyprinidae","Hypophthalmichthys",""
"7","19","Cypriniformes","Cyprinidae","Cyprinus","carpio"
"8","20","Cypriniformes","Cyprinidae","Carassius","auratus"
"9","21","Cypriniformes","Catastomidae","",""
"10","25","Characiformes","","Hemigrammus",""
"11","26","Characiformes","Alestidae","Hydrocynus",""
"12","27","Gymnotiformes","Gymnotiformes","",""
"13","28","Gymnotiformes","Gymnotiformes","",""
"14","35","Argentiniformes","Argentinidae","Glossanodon","semifasciatus"
"15","37","Salmoniformes","Salmonidae","Salmo","salar"
"16","38","Salmoniformes","Salmonidae","Oncorhynchus",""
"17","39","Salmoniformes","Salmonidae","Thymallus","arcticus"
"18","40","Osmeriformes","Osmeridae","Hypomesus","pretiosus"
"19","42","Aulopiformes","Alepisauridae","Alepisaurus",""
"20","43","Aulopiformes","Synodontidae","",""
"21","44","Myctophiformes","Myctophidae","",""
"22","45","Gadiformes","Gadidae","Gadus","morhua"
"23","46","Gadiformes","Gadidae","Gadus","macrocephalus"
"24","48","Lampriformes","Regalecidae","",""
"25","50","Lampriformes","Lampridae","Lampris",""
"26","52","Beryciformes","Anomalopidae","",""
"27","53","Beryciformes","Holocentridae","Holocentrus","adscensionis"
"28","55","Batrachoidiformes","Batrachoididae","Porichthys","notatus"
"29","61","Scombriformes","","",""
"30","64","Perciformes","Centropomidae","Centropomus","undecimalis"
"31","66","Perciformes","Carangidae","Selene","vomer"
"32","67","Perciformes","Polynemidae","Polydactylus","sexfilis"
"33","68","Cichliformes","Cichlidae","Oreochromis","niloticus"
"34","69","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus"
"35","70","Mugiliformes","","",""
"36","71","Perciformes","Pseudochromidae","Pictichromis","paccagnellae"
"37","72","Perciformes","Pomacentridae","Dascyllus","aruanus"
"38","73","Perciformes","Pomacentridae","Chromis","chromis"
"39","74","Perciformes","Pomacentridae","Amphiprion","ephippium"
"40","76","Perciformes","Opistognathidae","",""
"41","77","Gobiesociformes","Gobiesocidae","Gobiesox","meandricus"
"42","78","Perciformes","Bleniidae","",""
"43","79","Perciformes","Bleniidae","",""
"44","80","Perciformes","Bleniidae","",""
"45","81","Perciformes","Cichlidae","Satanoperca",""
"46","82","Perciformes","Cichlidae","Petrotilapia",""
"47","87","Cyprinodontiformes","Poeciliidae","Poecilia","reticulata"
"48","88","Perciformes","Centrarchidae","Lepomis","macrochirus"
"49","90","Perciformes","Pholidae","Apodichthys","flavidus"
"50","97","Perciformes","Percidae","Perca",""
"51","98","Perciformes","Chaetodontidae","",""
